time,antenna,tagid,rssi
2021-08-30 14:48:22,4,52666678,-68
2021-08-30 14:48:30,4,52666678,-68
2021-08-30 14:50:27,4,52666678,-68
2021-08-30 14:51:01,4,52666678,-68
2021-08-30 14:51:21,4,52666678,-68
2021-08-30 14:51:27,4,52666678,-68
2021-08-30 14:53:04,4,52666678,-68
2021-08-30 14:54:01,4,52666678,-68
2021-08-30 14:54:37,4,52666678,-68
2021-08-30 14:54:55,4,52666678,-68
2021-08-30 14:55:05,4,52666678,-68
2021-08-30 14:57:15,4,52666678,-68
2021-08-30 14:57:24,4,52666678,-68
2021-08-30 14:57:45,4,52666678,-68
2021-08-30 14:58:05,4,52666678,-68
2021-08-30 14:58:32,4,52666678,-68
2021-08-30 14:58:45,4,52666678,-68
2021-08-30 14:59:08,4,52666678,-68
2021-08-30 14:59:17,4,52666678,-68
2021-08-30 14:59:52,4,52666678,-68
2021-08-30 14:59:58,4,52666678,-68
2021-08-30 15:00:00,4,52666678,-68
2021-08-30 15:00:32,4,52666678,-68
2021-08-30 15:00:40,1,52666678,-68
2021-08-30 15:05:40,4,52666678,-68
2021-08-30 15:06:30,1,52666678,-68
2021-08-30 15:06:31,4,52666678,-68
2021-08-30 15:09:38,4,52666678,-68
2021-08-30 15:15:30,4,52666678,-68
2021-08-30 15:16:05,4,52666678,-68
2021-08-30 15:16:18,4,52666678,-68
2021-08-30 15:19:34,4,52666678,-68
2021-08-30 15:27:32,4,52666678,-68
2021-08-30 15:27:39,4,52666678,-68
2021-08-30 15:29:00,4,52666678,-68
2021-08-30 15:29:23,4,52666678,-68
2021-08-30 15:30:07,4,52666678,-68
2021-08-30 15:30:46,4,52666678,-68
2021-08-30 15:32:55,4,52666678,-68
2021-08-30 15:37:52,4,52666678,-68
2021-08-30 15:46:41,4,52666678,-68
2021-08-30 15:58:26,2,52666678,-68
2021-08-30 16:25:32,4,52666678,-68
2021-08-30 16:30:24,4,52666678,-68
2021-08-30 16:43:57,4,52666678,-68
2021-08-30 16:44:28,4,52666678,-68
2021-08-30 16:44:38,4,52666678,-68
2021-08-30 16:46:06,4,52666678,-68
2021-08-30 16:46:37,4,52666678,-68
2021-08-30 16:47:14,4,52666678,-68
2021-08-30 16:48:32,4,52666678,-68
2021-08-30 16:52:55,4,52666678,-68
2021-08-30 14:24:42,4,52666678,-69
2021-08-30 14:24:51,4,52666678,-69
2021-08-30 14:25:54,4,52666678,-69
2021-08-30 14:28:17,4,52666678,-69
2021-08-30 14:30:17,4,52666678,-69
2021-08-30 14:30:21,4,52666678,-69
2021-08-30 14:34:34,4,52666678,-69
2021-08-30 14:34:46,4,52666678,-69
2021-08-30 14:34:56,4,52666678,-69
2021-08-30 14:35:08,4,52666678,-69
2021-08-30 14:42:39,4,52666678,-69
2021-08-30 14:42:50,4,52666678,-69
2021-08-30 14:45:33,4,52666678,-69
2021-08-30 14:45:40,4,52666678,-69
2021-08-30 14:46:41,4,52666678,-69
2021-08-30 14:48:14,4,52666678,-69
2021-08-30 14:49:50,1,52666678,-69
2021-08-30 14:50:53,4,52666678,-69
2021-08-30 14:51:25,4,52666678,-69
2021-08-30 14:54:27,4,52666678,-69
2021-08-30 14:54:46,4,52666678,-69
2021-08-30 14:56:30,4,52666678,-69
2021-08-30 14:57:26,2,52666678,-69
2021-08-30 14:58:39,4,52666678,-69
2021-08-30 14:59:03,4,52666678,-69
2021-08-30 14:59:09,4,52666678,-69
2021-08-30 14:59:43,4,52666678,-69
2021-08-30 14:59:51,4,52666678,-69
2021-08-30 15:00:01,4,52666678,-69
2021-08-30 15:00:06,4,52666678,-69
2021-08-30 15:01:14,1,52666678,-69
2021-08-30 15:02:16,4,52666678,-69
2021-08-30 15:03:50,4,52666678,-69
2021-08-30 15:03:58,4,52666678,-69
2021-08-30 15:05:43,4,52666678,-69
2021-08-30 15:12:18,4,52666678,-69
2021-08-30 15:15:11,4,52666678,-69
2021-08-30 15:15:24,4,52666678,-69
2021-08-30 15:16:37,4,52666678,-69
2021-08-30 15:19:05,4,52666678,-69
2021-08-30 15:19:06,4,52666678,-69
2021-08-30 15:19:49,4,52666678,-69
2021-08-30 15:23:39,4,52666678,-69
2021-08-30 15:29:00,1,52666678,-69
2021-08-30 15:30:41,4,52666678,-69
